ERROR:root:Invalid node_id
ERROR:root:Invalid node_id
ERROR:root:Invalid node_id
ERROR:root:Invalid node_id
ERROR:root:Invalid node_id
ERROR:root:Invalid node_id
ERROR:root:Invalid node_id
ERROR:root:Invalid node_id
ERROR:root:Invalid node_id
ERROR:root:Invalid node_id
Invalid node_id
Invalid node_id
HELLO 123
Invalid node_id
Invalid node_id
Invalid node_id
HELLO 123
HELLO 123
2023-03-31 22:57:41,827 | ERROR | HELLO 123
[03-31 22:58:07] p44448 {/Users/jayarajbalagopal/IIITH/Semester4/DS/Project/raft_node.py:16} ERROR - HELLO 123
2023-03-31 22:58:37,546,546 ERROR    [raft_node.py:16] HELLO 123
2023-03-31 23:14:00,861,861 ERROR    [server.py:19] Invalid node_id
2023-03-31 23:14:04,672,672 ERROR    [raft_node.py:17] HELLO 123
2023-03-31 23:14:34,565,565 INFO     [router.py:18] Dealers initialized, starting routing
2023-03-31 23:14:59,357,357 INFO     [router.py:18] Dealers initialized, starting routing
2023-03-31 23:15:17,322,322 INFO     [router.py:18] Dealers initialized
2023-03-31 23:15:17,322,322 INFO     [router.py:19] Started routing
2023-03-31 23:18:08,467,467 ERROR    [server.py:20] Invalid node_id
2023-03-31 23:18:14,180,180 ERROR    [server.py:35] Router is not responding
2023-03-31 23:18:14,181,181 ERROR    [raft_node.py:17] HELLO 123
2023-03-31 23:18:23,046,046 ERROR    [server.py:35] Router is not responding
2023-03-31 23:35:37,744,744 ERROR    [server.py:20] Invalid node_id
2023-03-31 23:35:42,805,805 INFO     [router.py:18] Dealers initialized
2023-03-31 23:35:42,805,805 INFO     [router.py:19] Started routing
2023-03-31 23:35:47,943,943 INFO     [router.py:18] Dealers initialized
2023-03-31 23:35:47,943,943 INFO     [router.py:19] Started routing
2023-03-31 23:35:50,908,908 ERROR    [server.py:20] Invalid node_id
2023-03-31 23:37:22,447,447 INFO     [router.py:18] Dealers initialized
2023-03-31 23:37:22,447,447 INFO     [router.py:19] Started routing
2023-03-31 23:41:13,012,012 INFO     [server.py:27] Router is up and running
2023-03-31 23:41:34,104,104 INFO     [server.py:27] Router is up and running
2023-03-31 23:41:46,946,946 INFO     [server.py:27] Router is up and running
2023-03-31 23:42:04,971,971 INFO     [server.py:27] Router is up and running
2023-03-31 23:42:04,971,971 INFO     [raft_node.py:20] Connected node 0 to router
2023-03-31 23:42:15,014,014 INFO     [server.py:27] Router is up and running
2023-03-31 23:42:15,014,014 INFO     [raft_node.py:20] Connected node 0 to router
2023-03-31 23:43:11,000,000 ERROR    [server.py:20] Invalid node_id
2023-03-31 23:43:14,564,564 INFO     [server.py:27] Router is up and running
2023-03-31 23:43:14,564,564 INFO     [raft_node.py:20] Connected node 0 to router
2023-03-31 23:55:19,232,232 INFO     [router.py:18] Dealers initialized
2023-03-31 23:55:19,232,232 INFO     [router.py:19] Started routing
2023-03-31 23:58:16,662,662 INFO     [server.py:28] Router listning
2023-03-31 23:58:25,248,248 ERROR    [server.py:30] Could not connect to the router
2023-03-31 23:58:34,674,674 ERROR    [server.py:30] Could not connect to the router
2023-03-31 23:58:37,813,813 INFO     [router.py:18] Dealers initialized
2023-03-31 23:58:37,813,813 INFO     [router.py:19] Started routing
2023-03-31 23:58:41,075,075 INFO     [server.py:28] Router listning
2023-03-31 23:58:41,077,077 INFO     [raft_node.py:20] Connected node 0 to router
2023-04-01 00:05:56,300,300 INFO     [server.py:28] Router listning
2023-04-01 00:05:56,302,302 INFO     [raft_node.py:20] Connected node 0 to router
2023-04-01 00:07:01,678,678 INFO     [server.py:28] Router listning
2023-04-01 00:07:01,678,678 INFO     [raft_node.py:20] Connected node 0 to router
2023-04-01 00:07:09,216,216 INFO     [server.py:28] Router listning
2023-04-01 00:07:09,217,217 INFO     [raft_node.py:20] Connected node 0 to router
2023-04-01 00:07:25,052,052 INFO     [server.py:28] Router listning
2023-04-01 00:07:25,053,053 INFO     [raft_node.py:21] Connected node 0 to router
2023-04-01 00:07:25,053,053 INFO     [raft_node.py:30] node 0 started ready to receiev messages
2023-04-01 00:07:32,506,506 INFO     [server.py:28] Router listning
2023-04-01 00:07:32,506,506 INFO     [raft_node.py:21] Connected node 0 to router
2023-04-01 00:07:32,507,507 INFO     [raft_node.py:30] Node 0 started ready to receiev messages
2023-04-01 00:07:41,497,497 INFO     [server.py:28] Router listning
2023-04-01 00:07:41,497,497 INFO     [raft_node.py:21] Connected Node 0 to router
2023-04-01 00:07:41,497,497 INFO     [raft_node.py:30] Node 0 started ready to receiev messages
2023-04-01 00:08:06,816,816 INFO     [server.py:28] Router listning
2023-04-01 00:08:06,816,816 INFO     [raft_node.py:21] Connected Node 0 to router
2023-04-01 00:08:06,816,816 INFO     [raft_node.py:30] Node 0 started ready to receiev messages
2023-04-01 00:08:20,649,649 INFO     [server.py:28] Router listning
2023-04-01 00:08:20,650,650 INFO     [raft_node.py:21] Connected Node 0 to router
2023-04-01 00:08:20,650,650 INFO     [raft_node.py:30] Node 0 started ready to receiev messages
2023-04-01 00:08:36,588,588 INFO     [server.py:28] Router listning
2023-04-01 00:08:36,588,588 INFO     [raft_node.py:21] Connected Node 0 to router
2023-04-01 00:08:36,588,588 INFO     [raft_node.py:30] Node 0 started ready to receiev messages
2023-04-01 00:08:51,339,339 INFO     [server.py:28] Router listning
2023-04-01 00:08:51,340,340 INFO     [raft_node.py:21] Connected Node 0 to router
2023-04-01 00:08:51,340,340 INFO     [raft_node.py:30] Node 0 started ready to receiev messages
2023-04-01 00:09:06,071,071 INFO     [server.py:28] Router listning
2023-04-01 00:09:06,071,071 INFO     [raft_node.py:21] Connected Node 0 to router
2023-04-01 00:09:06,071,071 INFO     [raft_node.py:30] Node 0 started ready to receiev messages
2023-04-01 00:09:20,199,199 INFO     [server.py:28] Router listning
2023-04-01 00:09:20,199,199 INFO     [raft_node.py:21] Connected Node 0 to router
2023-04-01 00:09:20,199,199 INFO     [raft_node.py:30] Node 0 started ready to receiev messages
2023-04-01 00:11:40,446,446 ERROR    [server.py:30] Could not connect to the router
2023-04-01 00:12:07,973,973 INFO     [router.py:18] Dealers initialized
2023-04-01 00:12:07,973,973 INFO     [router.py:19] Started routing
2023-04-01 00:12:11,165,165 INFO     [server.py:28] Router listning
2023-04-01 00:12:11,166,166 INFO     [raft_node.py:21] Connected Node 0 to router
2023-04-01 00:12:11,166,166 INFO     [raft_node.py:30] Node 0 started ready to receive messages
2023-04-01 00:13:05,698,698 INFO     [router.py:18] Dealers initialized
2023-04-01 00:13:05,698,698 INFO     [router.py:19] Started routing
2023-04-01 00:13:08,654,654 INFO     [server.py:28] Router listning
2023-04-01 00:13:08,654,654 INFO     [raft_node.py:21] Connected Node 0 to router
2023-04-01 00:13:08,654,654 INFO     [raft_node.py:30] Node 0 started ready to receive messages
2023-04-01 00:14:46,789,789 INFO     [router.py:18] Dealers initialized
2023-04-01 00:14:46,790,790 INFO     [router.py:19] Started routing
2023-04-01 00:14:49,915,915 INFO     [server.py:28] Router listning
2023-04-01 00:14:49,916,916 INFO     [raft_node.py:21] Connected Node 0 to router
2023-04-01 00:14:49,916,916 INFO     [raft_node.py:30] Node 0 started ready to receive messages
2023-04-01 00:15:02,709,709 INFO     [router.py:18] Dealers initialized
2023-04-01 00:15:02,709,709 INFO     [router.py:19] Started routing
2023-04-01 00:15:05,187,187 INFO     [server.py:28] Router listning
2023-04-01 00:15:05,187,187 INFO     [raft_node.py:21] Connected Node 0 to router
2023-04-01 00:15:05,187,187 INFO     [raft_node.py:30] Node 0 started ready to receive messages
2023-04-01 00:15:54,417,417 INFO     [router.py:18] Dealers initialized
2023-04-01 00:15:54,417,417 INFO     [router.py:19] Started routing
2023-04-01 00:15:58,421,421 INFO     [server.py:28] Router listning
2023-04-01 00:15:58,422,422 INFO     [raft_node.py:21] Connected Node 0 to router
2023-04-01 00:15:58,422,422 INFO     [raft_node.py:30] Node 0 started ready to receive messages
2023-04-01 00:16:48,170,170 INFO     [server.py:28] Router listning
2023-04-01 00:16:48,170,170 INFO     [raft_node.py:21] Connected Node 0 to router
2023-04-01 00:16:48,171,171 INFO     [raft_node.py:30] Node 0 started ready to receive messages
2023-04-01 00:17:09,845,845 INFO     [server.py:28] Router listning
2023-04-01 00:17:09,845,845 INFO     [raft_node.py:21] Connected Node 0 to router
2023-04-01 00:17:09,845,845 INFO     [raft_node.py:30] Node 0 started ready to receive messages
2023-04-01 00:17:40,567,567 INFO     [server.py:28] Router listning
2023-04-01 00:17:40,567,567 INFO     [raft_node.py:21] Connected Node 0 to router
2023-04-01 00:17:40,567,567 INFO     [raft_node.py:30] Node 0 started ready to receive messages
2023-04-01 00:42:38,147,147 ERROR    [server.py:18] Invalid node_id
2023-04-01 11:44:10,181,181 INFO     [raft_node.py:34] Node 0, initialized as FOLLOWER
2023-04-01 11:44:10,181,181 INFO     [raft_node.py:48] Staring async listen channel
2023-04-01 11:45:21,154,154 INFO     [raft_node.py:35] Node 0, initialized as FOLLOWER
2023-04-01 11:45:21,154,154 INFO     [raft_node.py:49] Node 0, staring async listen channel
2023-04-01 11:53:44,110,110 INFO     [raft_node.py:34] Node 1, initialized as FOLLOWER
2023-04-01 11:53:44,111,111 INFO     [raft_node.py:49] Node 1, staring async listen channel
2023-04-01 11:53:54,252,252 INFO     [raft_node.py:34] Node 0, initialized as FOLLOWER
2023-04-01 11:53:54,253,253 INFO     [raft_node.py:49] Node 0, staring async listen channel
2023-04-01 11:54:28,074,074 INFO     [raft_node.py:34] Node 1, initialized as FOLLOWER
2023-04-01 11:54:28,075,075 INFO     [raft_node.py:49] Node 1, staring async listen channel
2023-04-01 11:54:31,061,061 INFO     [raft_node.py:34] Node 0, initialized as FOLLOWER
2023-04-01 11:54:31,061,061 INFO     [raft_node.py:49] Node 0, staring async listen channel
2023-04-01 11:54:31,062,062 INFO     [raft_node.py:41] Hello from 0!
2023-04-01 11:55:59,925,925 INFO     [raft_node.py:34] Node 1, initialized as FOLLOWER
2023-04-01 11:55:59,925,925 INFO     [raft_node.py:50] Node 1, staring async listen channel
2023-04-01 11:56:03,142,142 INFO     [raft_node.py:34] Node 0, initialized as FOLLOWER
2023-04-01 11:56:03,142,142 INFO     [raft_node.py:50] Node 0, staring async listen channel
2023-04-01 11:56:03,143,143 INFO     [raft_node.py:41] Hello from 0!
2023-04-01 11:56:24,850,850 INFO     [raft_node.py:34] Node 1, initialized as FOLLOWER
2023-04-01 11:56:24,851,851 INFO     [raft_node.py:50] Node 1, staring async listen channel
2023-04-01 11:56:27,743,743 INFO     [raft_node.py:34] Node 0, initialized as FOLLOWER
2023-04-01 11:56:27,743,743 INFO     [raft_node.py:50] Node 0, staring async listen channel
2023-04-01 11:56:27,745,745 INFO     [raft_node.py:41] Hello from 0!
